Timestamp;Scheduled Date;Scheduled Time;Train ID;Status;Origin;Destination;Train Type Classification;Carriage Info;Raw Units
2026-03-12 14:55:05;12-03-2026;17:02:30;397;Scheduled;KH;AP;Talgo;16 cars (Nos. 1-25);EB + BPD + APT + AP + BPH + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BPD
2026-03-12 14:55:05;12-03-2026;17:03:00;394;Scheduled;HMB;KH;IC3;4 cars (Nos. 11-22);MFU + MFU
2026-03-12 14:55:05;12-03-2026;19:02:30;399;Scheduled;KH;AP;German IC Coaches;9 cars (Nos. 1-111);EB + BV + BV + BPX + BPX + BPB + BVS + AV + EB
2026-03-12 14:55:05;12-03-2026;19:03:00;1172;Cancelled;HMB;KH;Talgo;17 cars (Nos. 1-25);EB + BPD + APT + AP + BPH + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BPD + EB
2026-03-12 16:43:45;13-03-2026;09:02:30;1173;Scheduled;KH;HMB;IC3;4 cars (Nos. 71-82);MFU + MFU
2026-03-12 19:12:23;13-03-2026;11:02:30;92463;Scheduled;PA;PAGR;Unknown;0 cars;
2026-03-12 19:12:23;13-03-2026;11:02:30;393;Cancelled;KH;HMB;IC3;4 cars (Nos. 11-22);MFU + MFU
2026-03-12 19:12:23;13-03-2026;11:03:00;398;Scheduled;AP;KH;German IC Coaches;9 cars (Nos. 1-111);EB + AV + BVS + BPB + BPX + BPX + BV + BV + EB
2026-03-12 20:50:47;13-03-2026;13:02:30;1175;Scheduled;KH;HMB;Talgo;17 cars (Nos. 1-25);EB + BPD + APT + AP + BPH + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BPD + EB
2026-03-12 21:46:34;13-03-2026;13:03:00;396;Scheduled;AP;KH;Talgo;16 cars (Nos. 1-25);EB + BPD + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPH + AP + APT + BPD
2026-03-13 02:50:52;13-03-2026;15:03:00;51174;Scheduled;HMB;KH;IC3;4 cars (Nos. 71-82);MFU + MFU
2026-03-13 06:02:07;13-03-2026;17:02:30;397;Scheduled;KH;AP;Talgo;16 cars (Nos. 1-25);EB + BPD + APT + AP + BPH + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BPD
2026-03-13 06:02:07;13-03-2026;17:03:00;394;Scheduled;HMB;KH;IC3;4 cars (Nos. 11-22);MFU + MFU
